
 OUTPUT FROM bailey_pset7_problem2.m 

 Finding Eigenvectors and Eigenvalues Using Shifted Power Method 
 Using x same as the initial guess vector. 
Iter.    x(1)      x(2)          x(3)          x(4)        x(n-3)      x(n-2)      x(n-1)        x(n)        lambda       check
------------------------------------------------------------------------------------------------------------------------------------
 1 -7.05451e-01 +1.61187e-02 +1.61187e-02 +1.61187e-02 +1.61187e-02 +1.61187e-02 +1.61187e-02 -7.05451e-01 +1.75998e-03 +1.95318e-03 
 2 +7.05024e-01 -2.58393e-02 -2.29085e-02 -2.03441e-02 -2.03441e-02 -2.29085e-02 -2.58393e-02 +7.05024e-01 +1.68629e-03 +1.81155e-03 
 3 -7.04388e-01 +3.51152e-02 +2.91379e-02 +2.40533e-02 +2.40533e-02 +2.91379e-02 +3.51152e-02 -7.04388e-01 +1.62290e-03 +1.68303e-03 
 4 +7.03591e-01 -4.39717e-02 -3.48466e-02 -2.72900e-02 -2.72900e-02 -3.48466e-02 -4.39717e-02 +7.03591e-01 +1.56816e-03 +1.56691e-03 
 5 -7.02673e-01 +5.24344e-02 +4.00731e-02 +3.00953e-02 +3.00953e-02 +4.00731e-02 +5.24344e-02 -7.02673e-01 +1.52069e-03 +1.46242e-03 
 6 +7.01665e-01 -6.05288e-02 -4.48543e-02 -3.25079e-02 -3.25079e-02 -4.48543e-02 -6.05288e-02 +7.01665e-01 +1.47930e-03 +1.36869e-03 
 7 -7.00592e-01 +6.82792e-02 +4.92248e-02 +3.45641e-02 +3.45641e-02 +4.92248e-02 +6.82792e-02 -7.00592e-01 +1.44301e-03 +1.28484e-03 
 8 +6.99474e-01 -7.57093e-02 -5.32171e-02 -3.62970e-02 -3.62970e-02 -5.32171e-02 -7.57093e-02 +6.99474e-01 +1.41099e-03 +1.20997e-03 
 9 -6.98325e-01 +8.28411e-02 +5.68615e-02 +3.77375e-02 +3.77375e-02 +5.68615e-02 +8.28411e-02 -6.98325e-01 +1.38256e-03 +1.14323e-03 
10 +6.97156e-01 -8.96954e-02 -6.01858e-02 -3.89137e-02 -3.89137e-02 -6.01858e-02 -8.96954e-02 +6.97156e-01 +1.35715e-03 +1.08377e-03 
11 -6.95977e-01 +9.62915e-02 +6.32158e-02 +3.98514e-02 +3.98514e-02 +6.32158e-02 +9.62915e-02 -6.95977e-01 +1.33427e-03 +1.03080e-03 
12 +6.94794e-01 -1.02647e-01 -6.59752e-02 -4.05738e-02 -4.05738e-02 -6.59752e-02 -1.02647e-01 +6.94794e-01 +1.31356e-03 +9.83591e-04 
13 -6.93611e-01 +1.08780e-01 +6.84855e-02 +4.11025e-02 +4.11025e-02 +6.84855e-02 +1.08780e-01 -6.93611e-01 +1.29467e-03 +9.41458e-04 
14 +6.92432e-01 -1.14703e-01 -7.07665e-02 -4.14566e-02 -4.14566e-02 -7.07665e-02 -1.14703e-01 +6.92432e-01 +1.27734e-03 +9.03778e-04 
15 -6.91259e-01 +1.20433e-01 +7.28364e-02 +4.16539e-02 +4.16539e-02 +7.28364e-02 +1.20433e-01 -6.91259e-01 +1.26135e-03 +8.69990e-04 
16 +6.90095e-01 -1.25980e-01 -7.47116e-02 -4.17102e-02 -4.17102e-02 -7.47116e-02 -1.25980e-01 +6.90095e-01 +1.24652e-03 +8.39592e-04 
17 -6.88938e-01 +1.31358e-01 +7.64072e-02 +4.16399e-02 +4.16399e-02 +7.64072e-02 +1.31358e-01 -6.88938e-01 +1.23269e-03 +8.12139e-04 
18 +6.87791e-01 -1.36576e-01 -7.79368e-02 -4.14560e-02 -4.14560e-02 -7.79368e-02 -1.36576e-01 +6.87791e-01 +1.21974e-03 +7.87240e-04 
19 -6.86654e-01 +1.41645e-01 +7.93130e-02 +4.11704e-02 +4.11704e-02 +7.93130e-02 +1.41645e-01 -6.86654e-01 +1.20756e-03 +7.64552e-04 
20 +6.85525e-01 -1.46573e-01 -8.05472e-02 -4.07938e-02 -4.07938e-02 -8.05472e-02 -1.46573e-01 +6.85525e-01 +1.19607e-03 +7.43780e-04 
21 -6.84405e-01 +1.51369e-01 +8.16497e-02 +4.03358e-02 +4.03358e-02 +8.16497e-02 +1.51369e-01 -6.84405e-01 +1.18518e-03 +7.24668e-04 
22 +6.83294e-01 -1.56041e-01 -8.26300e-02 -3.98051e-02 -3.98051e-02 -8.26300e-02 -1.56041e-01 +6.83294e-01 +1.17485e-03 +7.06997e-04 
23 -6.82192e-01 +1.60595e-01 +8.34968e-02 +3.92096e-02 +3.92096e-02 +8.34968e-02 +1.60595e-01 -6.82192e-01 +1.16500e-03 +6.90579e-04 
24 +6.81097e-01 -1.65037e-01 -8.42579e-02 -3.85565e-02 -3.85565e-02 -8.42579e-02 -1.65037e-01 +6.81097e-01 +1.15560e-03 +6.75256e-04 
25 -6.80010e-01 +1.69374e-01 +8.49207e-02 +3.78522e-02 +3.78522e-02 +8.49207e-02 +1.69374e-01 -6.80010e-01 +1.14661e-03 +6.60891e-04 
26 +6.78929e-01 -1.73610e-01 -8.54916e-02 -3.71026e-02 -3.71026e-02 -8.54916e-02 -1.73610e-01 +6.78929e-01 +1.13800e-03 +6.47369e-04 
27 -6.77855e-01 +1.77751e-01 +8.59768e-02 +3.63129e-02 +3.63129e-02 +8.59768e-02 +1.77751e-01 -6.77855e-01 +1.12973e-03 +6.34594e-04 
28 +6.76788e-01 -1.81802e-01 -8.63818e-02 -3.54878e-02 -3.54878e-02 -8.63818e-02 -1.81802e-01 +6.76788e-01 +1.12178e-03 +6.22482e-04 
29 -6.75726e-01 +1.85765e-01 +8.67116e-02 +3.46318e-02 +3.46318e-02 +8.67116e-02 +1.85765e-01 -6.75726e-01 +1.11414e-03 +6.10964e-04 
30 +6.74670e-01 -1.89646e-01 -8.69710e-02 -3.37487e-02 -3.37487e-02 -8.69710e-02 -1.89646e-01 +6.74670e-01 +1.10677e-03 +5.99980e-04 
31 -6.73619e-01 +1.93447e-01 +8.71642e-02 +3.28421e-02 +3.28421e-02 +8.71642e-02 +1.93447e-01 -6.73619e-01 +1.09966e-03 +5.89481e-04 
32 +6.72574e-01 -1.97173e-01 -8.72951e-02 -3.19150e-02 -3.19150e-02 -8.72951e-02 -1.97173e-01 +6.72574e-01 +1.09280e-03 +5.79422e-04 
33 -6.71533e-01 +2.00825e-01 +8.73674e-02 +3.09705e-02 +3.09705e-02 +8.73674e-02 +2.00825e-01 -6.71533e-01 +1.08617e-03 +5.69768e-04 
34 +6.70497e-01 -2.04408e-01 -8.73844e-02 -3.00111e-02 -3.00111e-02 -8.73844e-02 -2.04408e-01 +6.70497e-01 +1.07976e-03 +5.60487e-04 
35 -6.69465e-01 +2.07923e-01 +8.73493e-02 +2.90391e-02 +2.90391e-02 +8.73493e-02 +2.07923e-01 -6.69465e-01 +1.07355e-03 +5.51551e-04 
36 +6.68438e-01 -2.11373e-01 -8.72649e-02 -2.80569e-02 -2.80569e-02 -8.72649e-02 -2.11373e-01 +6.68438e-01 +1.06754e-03 +5.42937e-04 
37 -6.67416e-01 +2.14760e-01 +8.71338e-02 +2.70661e-02 +2.70661e-02 +8.71338e-02 +2.14760e-01 -6.67416e-01 +1.06172e-03 +5.34625e-04 
38 +6.66397e-01 -2.18087e-01 -8.69585e-02 -2.60687e-02 -2.60687e-02 -8.69585e-02 -2.18087e-01 +6.66397e-01 +1.05607e-03 +5.26596e-04 
39 -6.65383e-01 +2.21356e-01 +8.67414e-02 +2.50662e-02 +2.50662e-02 +8.67414e-02 +2.21356e-01 -6.65383e-01 +1.05059e-03 +5.18834e-04 
40 +6.64373e-01 -2.24568e-01 -8.64845e-02 -2.40600e-02 -2.40600e-02 -8.64845e-02 -2.24568e-01 +6.64373e-01 +1.04527e-03 +5.11324e-04 
41 -6.63367e-01 +2.27725e-01 +8.61897e-02 +2.30515e-02 +2.30515e-02 +8.61897e-02 +2.27725e-01 -6.63367e-01 +1.04010e-03 +5.04055e-04 
42 +6.62366e-01 -2.30829e-01 -8.58591e-02 -2.20418e-02 -2.20418e-02 -8.58591e-02 -2.30829e-01 +6.62366e-01 +1.03508e-03 +4.97015e-04 
43 -6.61368e-01 +2.33882e-01 +8.54942e-02 +2.10320e-02 +2.10320e-02 +8.54942e-02 +2.33882e-01 -6.61368e-01 +1.03019e-03 +4.90192e-04 
44 +6.60374e-01 -2.36885e-01 -8.50967e-02 -2.00230e-02 -2.00230e-02 -8.50967e-02 -2.36885e-01 +6.60374e-01 +1.02544e-03 +4.83577e-04 
45 -6.59385e-01 +2.39839e-01 +8.46681e-02 +1.90158e-02 +1.90158e-02 +8.46681e-02 +2.39839e-01 -6.59385e-01 +1.02082e-03 +4.77161e-04 
46 +6.58399e-01 -2.42746e-01 -8.42099e-02 -1.80111e-02 -1.80111e-02 -8.42099e-02 -2.42746e-01 +6.58399e-01 +1.01632e-03 +4.70935e-04 
47 -6.57418e-01 +2.45607e-01 +8.37233e-02 +1.70096e-02 +1.70096e-02 +8.37233e-02 +2.45607e-01 -6.57418e-01 +1.01193e-03 +4.64893e-04 
