
 OUTPUT FROM bailey_pset1_a.m 

 Solving a nonlinear equation using Bisection Method 
 with initial guesses a =  0.000000 and b =  6.000000 

 Iteration                     x                        f(x)
------------------------------------------------------------------
     1                      3.000000                 -12.522043
     2                      1.500000                   4.189955
     3                      2.250000                  -0.040338
     4                      1.875000                   4.169820
     5                      2.062500                   2.575970
     6                      2.156250                   1.382265
     7                      2.203125                   0.697166
     8                      2.226563                   0.334619
     9                      2.238281                   0.148646
    10                      2.244141                   0.054524
    11                      2.247070                   0.007185
    12                      2.248535                  -0.016553
    13                      2.247803                  -0.004678
    14                      2.247437                   0.001255
    15                      2.247620                  -0.001711
    16                      2.247528                  -0.000228
    17                      2.247482                   0.000513
    18                      2.247505                   0.000143
    19                      2.247517                  -0.000043
    20                      2.247511                   0.000050
    21                      2.247514                   0.000004
    22                      2.247515                  -0.000020
    23                      2.247514                  -0.000008
    24                      2.247514                  -0.000002
    25                      2.247514                   0.000001
    26                      2.247514                  -0.000001
    27                      2.247514                  -0.000000
    28                      2.247514                   0.000000
    29                      2.247514                   0.000000
    30                      2.247514                  -0.000000
    31                      2.247514                   0.000000
    32                      2.247514                   0.000000
    33                      2.247514                  -0.000000
    34                      2.247514                   0.000000
    35                      2.247514                  -0.000000
    36                      2.247514                  -0.000000
    37                      2.247514                  -0.000000
    38                      2.247514                   0.000000
    39                      2.247514                  -0.000000
    40                      2.247514                  -0.000000
    41                      2.247514                  -0.000000
    42                      2.247514                  -0.000000
    43                      2.247514                   0.000000
    44                      2.247514                   0.000000
    45                      2.247514                   0.000000
    46                      2.247514                  -0.000000
    47                      2.247514                  -0.000000
------------------------------------------------------------------
 The method converged to     2.247514 after 47 iterations.

