
 OUTPUT FROM bailey_pset5_problem2_a.m 

  Solving 2 Nonlinear Equations Using Nonlinear Jacobi Iteration 
     Initial Guesses: x1 = +4.00000e-01 and x2 = +3.00000e+00 

   Iter.  l1    l2        x1             x2          check1
------------------------------------------------------------------
     1     8     2   +5.22530e-01   +3.03743e+00   +4.03400e-02
     2     3     2   +5.16576e-01   +3.14988e+00   +3.56987e-02
     3     4     2   +4.98681e-01   +3.14827e+00   +5.68404e-03
     4     2     2   +4.98937e-01   +3.14092e+00   +2.34031e-03
     5     3     2   +5.00107e-01   +3.14105e+00   +3.72456e-04
     6     2     2   +5.00086e-01   +3.14165e+00   +1.88252e-04
     7     2     2   +4.99992e-01   +3.14164e+00   +2.99613e-05
     8     2     2   +4.99993e-01   +3.14159e+00   +1.49675e-05
     9     2     1   +5.00001e-01   +3.14159e+00   +2.38215e-06
